price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
210000,4,2.25,1500,5393,2.0,3,7,1500,0,1999,0,98001,47.3378,122.263,1700,5917
272000,3,2.0,1380,7476,1.0,3,7,1380,0,1989,0,98001,47.3336,122.272,1600,7227
353500,4,3.0,2050,4000,2.0,3,8,2050,0,2014,0,98001,47.3523,122.275,2050,4000
220000,3,1.75,1290,8250,1.0,3,7,1290,0,1983,0,98001,47.3353,122.27,1410,7823
349500,4,2.5,2030,4596,2.0,3,8,2030,0,2014,0,98001,47.3515,122.275,2040,4705
221000,3,1.0,1250,7280,1.0,3,7,1250,0,1965,0,98001,47.3414,122.286,1450,7350
317000,4,2.5,2160,8049,2.0,3,9,2160,0,1988,0,98001,47.3337,122.26,2490,8995
292500,4,2.5,1610,4568,2.0,3,7,1610,0,2006,0,98001,47.3351,122.289,1834,4604
246000,3,1.75,1440,11325,1.0,4,8,1440,0,1966,0,98001,47.3503,122.279,1440,20000
367950,4,2.5,3030,9500,2.0,3,8,3030,0,1989,0,98001,47.3511,122.287,2650,9500
284200,3,2.5,1570,9292,1.0,3,7,1110,460,1977,0,98001,47.3386,122.272,1470,9222
175000,3,1.0,1070,6164,1.0,3,7,1070,0,1967,0,98001,47.3377,122.291,1320,7920
224000,3,1.5,1560,7300,1.0,4,7,1040,520,1964,0,98001,47.3427,122.281,1460,7910
332000,3,2.25,2120,14915,1.0,3,9,1720,400,1979,0,98001,47.3524,122.285,2320,13100
196500,3,1.0,1320,9000,1.0,3,7,1320,0,1966,0,98001,47.3461,122.272,1320,9800
287000,4,2.5,2240,4648,2.0,3,7,2240,0,2005,0,98001,47.3378,122.257,2221,4557
480000,4,2.5,2940,9172,2.0,3,9,2940,0,2006,0,98001,47.3444,122.269,2660,7955
299950,3,2.5,1600,9830,2.0,4,8,1600,0,1993,0,98001,47.339,122.266,1890,8910
360000,4,2.5,2390,7056,2.0,3,9,2390,0,1990,0,98001,47.3385,122.264,2590,7801
289000,3,2.5,1970,9607,2.0,3,7,1090,880,1988,0,98001,47.3462,122.286,2020,9608
370228,4,3.0,2050,4000,2.0,3,8,2050,0,2014,0,98001,47.3525,122.275,2050,4000
287600,3,2.5,1950,8251,2.0,3,7,1950,0,1990,0,98001,47.343,122.28,1540,8588
225000,3,1.0,1250,7820,1.0,3,7,1250,0,1967,0,98001,47.3397,122.291,1300,7920
197000,3,1.75,1690,7735,1.0,4,7,1060,630,1976,0,98001,47.3324,122.28,1580,7503
213550,3,2.5,1580,8541,2.0,3,7,1580,0,1990,0,98001,47.3334,122.289,1640,7542
250000,3,2.0,1170,7258,1.0,3,7,1170,0,1984,0,98001,47.3333,122.266,1410,7750
210000,3,1.0,1730,7210,1.0,3,7,1430,300,1963,0,98001,47.3404,122.28,1820,7210
375500,4,2.5,2301,6452,2.0,3,9,2301,0,2010,0,98001,47.346,122.269,2650,6054
375900,3,2.0,1824,7120,1.0,3,9,1824,0,2010,0,98001,47.3457,122.27,2409,6264
367300,4,2.75,2190,14937,2.0,3,8,2190,0,1993,0,98001,47.3535,122.273,1920,11360
349950,4,2.5,2632,4117,2.0,3,8,2632,0,2013,0,98001,47.3428,122.278,2040,5195
360000,4,2.5,2160,9528,2.0,3,9,2160,0,1992,0,98001,47.3341,122.255,2280,9937
175000,3,1.5,1220,7300,1.0,3,7,1220,0,1973,0,98001,47.3341,122.279,1260,7347
285000,4,2.5,2200,9397,2.0,3,8,2200,0,1987,0,98001,47.3406,122.269,2310,9176
280000,4,2.5,2400,4596,2.0,3,8,2400,0,2004,0,98001,47.3358,122.265,2230,4763
215000,4,2.25,1500,5393,2.0,3,7,1500,0,1999,0,98001,47.3378,122.262,1500,5952
265000,3,1.5,1780,10196,1.0,4,7,1270,510,1967,0,98001,47.3375,122.291,1320,7875
424000,4,2.5,2650,8685,2.0,3,9,2650,0,2006,0,98001,47.344,122.269,2650,7932
190000,3,2.25,1590,11745,1.0,3,7,1090,500,1978,0,98001,47.3553,122.28,1540,12530
162500,3,1.5,1390,7417,1.0,3,7,1390,0,1967,0,98001,47.3369,122.275,1390,7665
226500,3,2.0,1560,7000,1.0,4,7,1560,0,1968,0,98001,47.3355,122.284,1560,7200
320000,3,2.5,2280,7417,2.0,3,8,2280,0,1998,0,98001,47.3557,122.278,2370,6443
345500,3,2.5,1930,4000,2.0,3,8,1930,0,2014,0,98001,47.3518,122.275,2050,4000
233000,3,2.0,1400,9177,1.0,3,7,1400,0,1974,0,98001,47.3415,122.272,2020,8547
329500,3,2.5,2120,22482,1.0,5,7,1360,760,1979,0,98001,47.341,122.265,2330,16016
359500,4,2.75,2140,10316,2.0,3,8,2140,0,1993,0,98001,47.3537,122.274,1920,11337
256000,3,2.5,1570,5113,1.0,3,7,1090,480,1996,0,98001,47.3327,122.29,1570,5150
165000,3,1.5,1280,7742,1.0,3,7,1280,0,1973,0,98001,47.3323,122.276,1566,7696
429000,4,2.5,2650,9301,2.0,3,9,2650,0,2001,0,98001,47.3477,122.271,2730,8688
302000,4,2.5,1740,7895,2.0,3,7,1740,0,1999,0,98001,47.3401,122.282,1720,6813
243000,3,1.75,1450,12125,1.0,4,7,1450,0,1981,0,98001,47.3575,122.28,1210,12125
338500,4,2.5,2717,4513,2.0,3,8,2717,0,2005,0,98001,47.3373,122.266,2550,4841
234950,3,2.0,1510,9153,1.0,4,7,1510,0,1974,0,98001,47.3412,122.273,1780,9286
265000,4,1.5,1580,8468,2.0,4,7,1580,0,1971,0,98001,47.3336,122.281,1580,8260
353000,4,2.5,1912,5000,2.0,3,8,1912,0,2012,0,98001,47.3511,122.275,2020,5000
339000,4,2.5,2900,6918,2.0,3,8,2900,0,2001,0,98001,47.3504,122.284,2720,10376
240000,3,1.0,1690,20063,1.5,4,7,1690,0,1913,0,98001,47.3556,122.294,1700,15899
196000,3,2.25,2070,11576,2.0,3,7,2070,0,1974,0,98001,47.3417,122.271,1890,7519
215000,3,2.0,1760,9282,1.0,5,7,1100,660,1947,0,98001,47.3413,122.29,1730,7500
269500,4,2.25,1700,7056,2.0,3,7,1700,0,1999,0,98001,47.3385,122.262,1650,6025
299950,3,2.5,1870,7942,2.0,3,7,1870,0,1990,0,98001,47.342,122.279,1870,7392
295000,3,2.5,1940,10350,1.0,3,7,1420,520,1979,0,98001,47.3385,122.256,1810,7800
315000,3,2.5,1600,7982,2.0,3,8,1600,0,1993,0,98001,47.3397,122.266,1890,9830
340000,4,2.5,2181,5521,2.0,3,8,2181,0,2006,0,98001,47.3503,122.291,2333,5143
225000,3,1.0,1660,7210,1.0,3,7,1100,560,1963,0,98001,47.3394,122.281,1660,7245
355000,4,2.75,2050,4000,2.0,3,8,2050,0,2014,0,98001,47.3522,122.275,2050,4000
354450,4,2.75,2140,9920,2.0,3,8,2140,0,1993,0,98001,47.3529,122.274,2130,9920
313100,3,2.0,1730,12821,1.0,3,8,1730,0,1994,0,98001,47.353,122.272,1980,11336
321000,3,2.5,2014,4500,2.0,3,7,2014,0,2005,0,98001,47.3371,122.256,2014,4500
210000,3,2.0,1440,10111,1.0,3,7,1440,0,1963,0,98001,47.345,122.283,1580,10200
160000,3,1.75,1610,7392,1.0,4,7,1610,0,1964,0,98001,47.3413,122.28,1450,7392
465000,3,3.0,2290,15600,1.0,3,8,1420,870,1948,1990,98001,47.3558,122.29,1890,14143
209000,3,1.75,1250,8084,1.0,4,7,1250,0,1967,0,98001,47.3364,122.276,1340,7680
427000,3,2.5,2432,9391,2.0,3,9,2432,0,2005,0,98001,47.3453,122.267,2912,8932
415000,4,2.5,2891,6499,2.0,3,9,2891,0,2014,0,98001,47.3359,122.257,2550,8383
239950,3,2.25,1560,8280,2.0,4,7,1560,0,1979,0,98001,47.3393,122.259,1920,8120
